"Keywords","Average Searches","Average Clicks","CTR","Competition","KD","Tag Occurrences","Character Count","Google Searches"
"farmer relief",0,0,0,0,"","1","13","N/A"
"fake dessert decor",0,0,0,0,"","1","18","N/A"
"buddha",0,0,0,64736,"","1","6",201000
"gold metal decor",0,0,0,71904,"","1","16","N/A"
"gold round floral",0,0,0,0,"","1","17","N/A"
"large canvas mural",0,0,0,1759,"","1","18","N/A"
"pirate ship",0,0,0,19579,"","1","11",1000000
"dog decor",0,0,0,726903,"","1","9",1000
"funny dog quote",0,0,0,20725,"","1","15","N/A"
"cute dog printable",0,0,0,21244,"","1","18","N/A"
"signed by artist",0,0,0,57463,"","1","16","N/A"
"rare",0,0,0,848938,"","1","4",49500
"fruit design",0,0,0,53723,"","1","12","N/A"
"kitchen decor",0,0,0,4401800,"","1","13",18100
"stylish clock",0,0,0,1218,"","1","13","N/A"
"orange motif",0,0,0,4822,"","1","12","N/A"
"unique gifts",0,0,0,2965109,"","1","12",40500
"spam musubi clock",0,0,0,0,"","1","17","N/A"
"numbered clock",0,0,0,1675,"","1","14","N/A"
"metal allah decor",0,0,0,0,"","1","17","N/A"
"ramadan gift",0,0,0,24097,"","1","12",1600
"lighthouse decor",0,0,0,38408,"","1","16",1000
"seaside sign",0,0,0,1675,"","1","12","N/A"
"vacation home",0,0,0,251597,"","1","13","N/A"
"copper silver metal",0,0,0,0,"","1","19","N/A"
"heart love gift",0,0,0,345479,"","1","15","N/A"
"vintage retro",0,0,0,2213053,"","1","13","N/A"
"whimsical fairycore",0,0,0,8696,"","1","19","N/A"
"banana sculpture",0,0,0,408,"","1","16","N/A"
"quirky home decor",0,0,0,133671,"","1","17",590
"banana gift",0,0,0,15735,"","1","11","N/A"
"popsicle sculpture",0,0,0,579,"","1","18","N/A"
"interior designer",0,0,0,18896,"","1","17",49500
"popsicle 3d ornament",0,0,0,0,"","1","20","N/A"
"let love grow print",0,0,0,354,"","1","19","N/A"
"mountain printable",0,0,0,58341,"","1","18","N/A"
"family quote print",0,0,0,17947,"","1","18","N/A"
"wedding gift decor",0,0,0,713277,"","1","18","N/A"
"stained glass",0,0,0,326668,"","1","13",74000
"wildflowers",0,0,0,471227,"","1","11",301000
"embroidered",0,0,0,1277994,"","1","11",165000
"embroidered blessing",0,0,0,0,"","1","20","N/A"
"friendship",0,0,0,1487165,"","1","10",135000
"mlb fan",1,0,0,0,"","1","7","N/A"
"saint louis",0,0,0,5250,"","1","11","N/A"
"fred bird",0,0,0,0,"","1","9","N/A"
"last minute gifts",0,0,0,73388,"","1","17","N/A"
"12 x 12 inches",0,0,0,48699,"","1","14","N/A"
"rockabilly decor",0,0,0,2923,"","1","16","N/A"
"texture relief",0,0,0,2111,"","1","14","N/A"
"mosaic tile work",0,0,0,193,"","1","16","N/A"
"mosaic still life",0,0,0,123,"","1","17","N/A"
"custom koi fish",0,0,0,1084,"","1","15","N/A"
"koi fish sign",0,0,0,464,"","1","13","N/A"
"outdoor fish sign",0,0,0,1895,"","1","17","N/A"
"koi lotus sign",0,0,0,0,"","1","14","N/A"
"fish pond decor",0,0,0,3834,"","1","15","N/A"
"ganesha home decor",0,0,0,4978,"","1","18","N/A"
"lord ganesha artwork",0,0,0,204,"","1","20","N/A"
"plywood ganesha sign",0,0,0,0,"","1","20","N/A"
"unique ganesha gift",0,0,0,0,"","1","19","N/A"
"wooden ganesha decor",0,0,0,0,"","1","20","N/A"
"modern metal glass",0,0,0,0,"","1","18","N/A"
"fused glass hanging",0,0,0,1837,"","1","19","N/A"
"stained fused glass",0,0,0,6614,"","1","19","N/A"
"fashion magazine sty",0,0,0,0,"","1","20","N/A"
"contemporary decor",0,0,0,865875,"","1","18","N/A"
"giant cuttlefish",0,0,0,0,"","1","16","N/A"
"fiber sculpture",0,0,0,10974,"","1","15","N/A"
"mandala",0,0,0,172485,"","1","7",165000
"canvas resin",0,0,0,10695,"","1","12","N/A"
"resin alcohol",0,0,0,0,"","1","13","N/A"
"epoxy canvas",0,0,0,5534,"","1","12","N/A"
"fine artist",0,0,0,30097,"","1","11","N/A"
"kara young",0,0,0,0,"","1","10","N/A"
"santa fe",0,0,0,15223,"","1","8",301000
"new mexico",0,0,0,44846,"","1","10",301000
"mechanic clock",0,0,0,571,"","1","14","N/A"
"wrench clock",0,0,0,0,"","1","12","N/A"
"auto shop decor",0,0,0,2228,"","1","15","N/A"
"mechanic gift",0,0,0,27666,"","1","13",1900
"car guy gift",0,0,0,24854,"","1","12",3600
"handyman decor",0,0,0,4612,"","1","14","N/A"
"dad garage gift",0,0,0,25858,"","1","15",0
"tool decor",0,0,0,2292672,"","1","10","N/A"
"repair shop decor",0,0,0,1369,"","1","17","N/A"
"diy gift idea",0,0,0,86062,"","1","13","N/A"
"blue sea turtle",0,0,0,21186,"","1","15","N/A"
"green sea turtle",0,0,0,14520,"","1","16","N/A"
"seashell turtle",0,0,0,3058,"","1","15","N/A"
"bedroom bathroom",0,0,0,1406852,"","1","16","N/A"
"embroidery hanging",0,0,0,22947,"","1","18","N/A"
"retro and kitschy",0,0,0,0,"","1","17","N/A"
"kitschy embroidery",0,0,0,0,"","1","18","N/A"
"jesus and children",0,0,0,36378,"","1","18","N/A"
"mount fuji metal",0,0,0,0,"","1","16","N/A"
"asian living room",0,0,0,39961,"","1","17","N/A"
"japanese gate sign",0,0,0,0,"","1","18","N/A"
"gift for garden",0,0,0,790535,"","1","15","N/A"
"home spiritual decor",0,0,0,193147,"","1","20","N/A"
"unique metal gift",0,0,0,107988,"","1","17","N/A"
"zenhousewarming gift",0,0,0,0,"","1","20","N/A"
"garden theme decor",0,0,0,0,"","1","18","N/A"
"unique clock design",0,0,0,5711,"","1","19","N/A"
"colorful timepiece",0,0,0,201,"","1","18","N/A"
"vav allah decor",0,0,0,0,"","1","15","N/A"
"eid al fitr gift",0,0,0,862,"","1","16","N/A"
"sailboat decor",0,0,0,38883,"","1","14","N/A"
"nfl",0,0,0,130460,"","1","3",37200000
"clevelandbrowns",0,0,0,0,"","1","15","N/A"
"bright blue colorful",0,0,0,26688,"","1","20","N/A"
"dramatic statement",0,0,0,3841,"","1","18","N/A"
"60s style retro",0,0,0,0,"","1","15","N/A"
"bright blue retro ar",0,0,0,0,"","1","20","N/A"
"playful decor",0,0,0,87991,"","1","13","N/A"
"kids room unisex",0,0,0,0,"","1","16","N/A"
"hand embroidered",0,0,0,108619,"","1","16","N/A"
"retro pet decor",0,0,0,17293,"","1","15","N/A"
